,current_city,lat,long
138,nagpur ,21.1498134,79.0820556
139,malkapur,20.893135800000003,76.20573655301347
140,bankura,23.235601,87.0660229
141,"trivandrum, kerala, india",8.4882267,76.947551
142,nipani ,19.7496393,78.4565556
143,"patna,bihar",25.6093239,85.1235252
144,kagal kolhapur,16.5750891,74.3152571
145,anjuna ,15.5819474,73.73997156040434
146,panjim goa,15.4989946,73.8282141
147,himayatnagar ,19.4112104,77.8437928324421
148,"patna, bihar ",25.6093239,85.1235252
149,kachchh (bhuj),23.2472446,69.668339
150,"mahabubabad, telangana",17.595749,79.9999224
151,gandhinagar,23.2232877,72.6492267
152,veraval ,20.9101099,70.365279
153,kolhapur maharashtr,,
154,"panjim, goa",15.4989946,73.8282141
155,aligarh,27.833333,78.166667
156,vadodara,22.2973142,73.1942567
157,nandura,20.8136845,76.38840953752819
158,gundlupet,11.808496,76.6916141
159,"karad, dist satara maharashtra ",,
160,dombivali ,19.19676975,73.07475222972616
161,maldah,25.046841999999998,88.18732054821916
162,mandvi,22.8314482,69.35081
163,"vadodara, gujarat",22.2973142,73.1942567
164,namakkal ,11.284224850000001,78.16615283668403
165,tiruvannamalai,12.22713775,79.07012882091152
166,ramanathapuram,9.5,78.5
167,patna,25.6093239,85.1235252
168,periyapatna,12.3372494,76.0988013
169,khandala,18.06547435,74.04109989149464
170,nanded,19.09400875,77.48319215130235
171,ghoradongri,22.1256421,78.0021998
172,"bengaluru, karnataka ",12.9767936,77.590082
173,kanyakumari,8.079252,77.5499338
174,sambhajinagar maharashtra ,19.877263,75.3390241
175,east medinipur,22.4493533,87.8708397
176,cuddalore,11.74269375,79.75030644171935
177,chalisgaon,20.50236555,74.96556999100015
178,cuttack ,20.4686,85.8792
179,coimbatore ,11.0018115,76.9628425
180,new delhi,28.6138954,77.2090057
181,"naya raipur, chhattisgarh.",21.1610268,81.7864412
182,shillong,25.5760446,91.8825282
183,pune vishrantwadi,18.57263,73.87825
184,krishnagiri ,12.5188835,78.2206536
185,baroda,22.2973142,73.1942567
186,"uran, navi mumbai",19.0307053,73.0300046
187,trichy,10.804973,78.6870296
188,ahmedabad,23.0216238,72.5797068
189,"adimaly,kerala",10.0144274,76.9554575
190,bengaluru.,12.9767936,77.590082
191,hyderabad india,17.360589,78.4740613
192,villupuram ,11.9398285,79.4945645
193,salem ,44.9391565,-123.033121
194,"kohima, nagaland",25.6618755,94.1019156
195,karad,17.314751700000002,74.16551699168082
196,ahmedabad ,23.0216238,72.5797068
197,thoothukudi,8.8052602,78.1452745
198,faridabad ,28.4031478,77.3105561
199,joda,22.03240265,85.45668469827197
200,tirunelveli,8.8082342,77.8114843
201,"karad, satara dist. maharashtra",,
202,shegaon ,20.7936258,76.64969404695725
203,kannur,11.8763836,75.3737973
204,guwahati ,26.1805978,91.753943
205,bhuj - gujarat,23.2472446,69.668339
206,bokaro steel city ,23.6579595,86.0839161
207,karjat,18.9617775,73.37750396869731
208,bokaro steel city,23.6579595,86.0839161
209,mohali,30.7041168,76.7176885
